"car_park_no","address","x_coord","y_coord","car_park_type","type_of_parking_system","short_term_parking","free_parking","night_parking","car_park_decks","gantry_height","car_park_basement","combined_coords","converted_combined_coords","central"
"ECM","BLK 31A EUNOS CRESCENT","35602.0712","33587.8309","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","10","2.15","N","33587.8309 35602.0712","103.90162713697093 1.320029987855292","No"
"EC2","BLK 12-25 EUNOS CRESCENT","35915.3437","33873.7578","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","5.40","N","33873.7578 35915.3437","103.90444212518125 1.3226157282563191","No"
"EC3","BLK 5-8/11/4A EUNOS CRESCENT","35919.0977","33712.4297","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","0","0.00","N","33712.4297 35919.0977","103.90447581531423 1.3211567341184265","No"
"EC4","BLK 1-3/1A EUNOS CRESCENT","35720.6280","33641.6254","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","0","0.00","N","33641.6254 35720.6280","103.90269244435349 1.3205164562706984","No"
"EC5","BLK 9-10 EUNOS CRESCENT","35717.5859","33809.3711","SURFACE CAR PARK","COUPON PARKING","7AM-10.30PM","NO","NO","0","0.00","N","33809.3711 35717.5859","103.90266515157026 1.3220334887301848","No"
"EC7","BLK 842-848 SIMS AVENUE","35601.9233","33339.4481","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO","0","4.50","N","33339.4481 35601.9233","103.90162574678278 1.3177837032191553","No"
"EC7T","BLK 842 TO 848 SIMS AVENUE","35625.1072","33420.8287","SURFACE CAR PARK","COUPON PARKING","7AM-10.30PM","NO","NO","0","0.00","N","33420.8287 35625.1072","103.90183408598953 1.3185196743293057","No"
"EC8","BLK 2A EUNOS MRT SIMS AVENUE","35778.0200","33499.0305","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","0","0.00","N","33499.0305 35778.0200","103.90320810512698 1.3192268648217853","No"
"EI1","BLK 1001-1085 EUNOS INDUSTRIAL ESTATE","35070.0793","33964.0908","SURFACE CAR PARK","COUPON PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","0.00","N","33964.0908 35070.0793","103.89684700195495 1.3234328747450668","No"
"EI3","BLK 410 TO 417 EUNOS ROAD 5","35240.6635","33456.9535","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","4.50","N","33456.9535 35240.6635","103.89837967178774 1.3188464672807645","No"
"EPL","BLK 1/7 EVERTON PARK","28733.8679","28847.7781","SURFACE CAR PARK","ELECTRONIC PARKING","NO","NO","NO","0","4.50","N","28847.7781 28733.8679","103.83991265403928 1.277163553465462","No"
"EPM","BLK 6A EVERTON ROAD","28622.0835","28739.5121","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","9","2.15","N","28739.5121 28622.0835","103.83890822772874 1.2761844360827463","No"
"FRM","BLK 808 FRENCH ROAD MSCP","31121.2668","32341.4155","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","9","2.50","N","32341.4155 31121.2668","103.86136466220718 1.3087586330482945","No"
"FR2C","BLK 3/4 QUEEN'S ROAD","25150.3008","33394.0586","COVERED CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","0","2.40","N","33394.0586 25150.3008","103.80771256448294 1.3182783907026911","No"
"FR2S","BLK 2/3/4 QUEEN'S ROAD","25091.4622","33354.5073","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","0","0.00","N","33354.5073 25091.4622","103.80718387313334 1.317920697225088","No"
"FR3M","BLK 8A EMPRESS ROAD","24983.1434","33218.9585","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","12","2.15","N","33218.9585 24983.1434","103.80621058640855 1.316694831421104","No"
"FR4M","BLK 6A FARRER ROAD","25130.4814","33238.9594","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","3","2.15","N","33238.9594 25130.4814","103.80753449141022 1.3168757266186266","No"
"GBM","BLK 60A GEYLANG BAHRU","31930.2182","33890.9953","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","12","2.15","N","33890.9953 31930.2182","103.86863367566609 1.3227723905559818","No"
"GEM","BLK 118 ALJUNIED AVE 2","34041.2850","33588.5472","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","9","1.80","N","33588.5472 34041.2850","103.88760266728181 1.3200368136063063","No"
"GEML","BLK 118 ALJUNIED AVE 2","34068.7879","33577.5930","SURFACE CAR PARK","ELECTRONIC PARKING","NO","NO","NO","0","0.00","N","33577.5930 34068.7879","103.88784979291188 1.319937742298494","No"
"GE1A","BLK 99-106/111-112 ALJUNIED CRESCENT","33577.7747","33572.0259","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","33572.0259 33577.7747","103.88343778425913 1.3198874888218102","No"
"GE1B","BLK 114-117 ALJUNIED AVENUE 2","33973.3743","33717.7668","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","0","0.00","N","33717.7668 33973.3743","103.88699247956012 1.321205442803652","No"
"GE1C","BLK 119 ALJUNIED CRESCENT","33896.2141","33557.8016","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","33557.8016 33896.2141","103.88629912428081 1.3197587896689404","No"
"GE1D","BLK 1005-1012 ALJUNIED CRESCENT","34214.9727","33789.4883","SURFACE CAR PARK","COUPON PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","33789.4883 34214.9727","103.88916338167992 1.3218540182482434","No"
